trace_file,l1_size,l1_assoc,l2_size,l2_assoc,prefetch,policy,l1_i_total_accesses,l1_i_reads,l1_i_writes,l1_i_hits,l1_i_misses,l1_i_write_backs,l1_i_hit_rate,l1_i_miss_rate,l1_i_amat,l1_i_split_accesses,l1_d_total_accesses,l1_d_reads,l1_d_writes,l1_d_hits,l1_d_misses,l1_d_write_backs,l1_d_hit_rate,l1_d_miss_rate,l1_d_amat,l1_d_split_accesses,l2_total_accesses,l2_reads,l2_writes,l2_hits,l2_misses,l2_write_backs,l2_hit_rate,l2_miss_rate,l2_amat,l2_split_accesses
trace_rd.txt,8192,1,1048576,8,OFF,LRU,2077327,2077327,0,2052454,24873,0,98.8026,1.19736,4.36378,107303,729824,533156,196668,635106,94718,24572,87.0218,12.9782,8.38677,148,144163,119591,24572,133346,10817,28,92.4967,7.50331,30.0066,0
trace_rd.txt,8192,2,1048576,8,OFF,LRU,2077327,2077327,0,2066046,11281,0,99.4569,0.543054,4.26564,107303,729824,533156,196668,670227,59597,12273,91.8341,8.16594,7.66493,148,83151,70878,12273,72334,10817,28,86.9911,13.0089,41.0177,0
trace_rd.txt,8192,4,1048576,8,OFF,LRU,2077327,2077327,0,2068690,8637,0,99.5842,0.415775,4.24655,107303,729824,533156,196668,689534,40290,8572,94.4795,5.52051,7.26812,148,57499,48927,8572,46682,10817,28,81.1875,18.8125,52.625,0
trace_rd.txt,8192,8,1048576,8,OFF,LRU,2077327,2077327,0,2072201,5126,0,99.7532,0.246759,4.22119,107303,729824,533156,196668,693883,35941,6965,95.0754,4.92461,7.17873,148,48032,41067,6965,37215,10817,28,77.4796,22.5204,60.0408,0
trace_rd.txt,16384,1,1048576,8,OFF,LRU,2077327,2077327,0,2072023,5304,0,99.7447,0.255328,4.22248,107303,729824,533156,196668,690202,39622,7867,94.571,5.42898,7.25439,148,52793,44926,7867,41976,10817,28,79.5105,20.4895,55.9789,0
trace_rd.txt,16384,2,1048576,8,OFF,LRU,2077327,2077327,0,2073543,3784,0,99.8178,0.182157,4.2115,107303,729824,533156,196668,695195,34629,6317,95.2552,4.74484,7.15149,148,44730,38413,6317,33914,10816,28,75.8194,24.1806,63.3613,0
trace_rd.txt,16384,4,1048576,8,OFF,LRU,2077327,2077327,0,2073887,3440,0,99.8344,0.165597,4.20902,107303,729824,533156,196668,706199,23625,3995,96.7629,3.23708,6.9256,148,31060,27065,3995,20243,10817,28,65.1739,34.8261,84.6523,0
trace_rd.txt,16384,8,1048576,8,OFF,LRU,2077327,2077327,0,2073920,3407,0,99.836,0.164009,4.20878,107303,729824,533156,196668,709046,20778,3677,97.153,2.84699,6.86709,148,27862,24185,3677,17045,10817,28,61.1765,38.8235,92.647,0
trace_rd.txt,32768,1,1048576,8,OFF,LRU,2077327,2077327,0,2073872,3455,0,99.8337,0.16632,4.20913,107303,729824,533156,196668,703401,26423,5681,96.3795,3.62046,6.98311,148,35559,29878,5681,24742,10817,28,69.5801,30.4199,75.8397,0
trace_rd.txt,32768,2,1048576,8,OFF,LRU,2077327,2077327,0,2074481,2846,0,99.863,0.137003,4.20473,107303,729824,533156,196668,710410,19414,3497,97.3399,2.66009,6.83878,148,25757,22260,3497,14941,10816,28,58.0075,41.9925,98.9849,0
trace_rd.txt,32768,4,1048576,8,OFF,LRU,2077327,2077327,0,2074792,2535,0,99.878,0.122032,4.20248,107303,729824,533156,196668,711505,18319,3214,97.4899,2.51006,6.8149,148,24068,20854,3214,13257,10811,26,55.0814,44.9186,104.837,0
trace_rd.txt,32768,8,1048576,8,OFF,LRU,2077327,2077327,0,2074934,2393,0,99.8848,0.115196,4.20155,107303,729824,533156,196668,711897,17927,3178,97.5437,2.45635,6.80767,148,23498,20320,3178,12683,10815,27,53.9748,46.0252,107.05,0
trace_sq.txt,8192,1,1048576,8,OFF,LRU,1236538,1236538,0,1224081,12457,0,98.9926,1.00741,4.31091,63577,416883,310550,106333,359285,57598,14637,86.1837,13.8163,9.15149,60,84692,70055,14637,77286,7406,3,91.2554,8.74463,32.4893,0
trace_sq.txt,8192,2,1048576,8,OFF,LRU,1236538,1236538,0,1229545,6993,0,99.4345,0.565531,4.24463,63577,416883,310550,106333,380312,36571,7397,91.2275,8.77249,8.39491,60,50961,43564,7397,43555,7406,3,85.4673,14.5327,44.0654,0
trace_sq.txt,8192,4,1048576,8,OFF,LRU,1236538,1236538,0,1231598,4940,0,99.6005,0.399502,4.21973,63577,416883,310550,106333,392566,24317,5185,94.1669,5.83305,7.954,60,34442,29257,5185,27036,7406,3,78.4972,21.5028,58.0056,0
trace_sq.txt,8192,8,1048576,8,OFF,LRU,1236538,1236538,0,1234047,2491,0,99.7986,0.20145,4.19002,63577,416883,310550,106333,395775,21108,4033,94.9367,5.06329,7.83854,60,27632,23599,4033,20226,7406,3,73.1977,26.8023,68.6045,0
trace_sq.txt,16384,1,1048576,8,OFF,LRU,1236538,1236538,0,1234065,2473,0,99.8,0.199994,4.1898,63577,416883,310550,106333,392573,24310,4922,94.1686,5.83137,7.95375,60,31705,26783,4922,24299,7406,3,76.6409,23.3591,61.7182,0
trace_sq.txt,16384,2,1048576,8,OFF,LRU,1236538,1236538,0,1234490,2048,0,99.8344,0.165624,4.18464,63577,416883,310550,106333,395658,21225,4045,94.9086,5.09136,7.84274,60,27318,23273,4045,19912,7406,3,72.8897,27.1103,69.2207,0
trace_sq.txt,16384,4,1048576,8,OFF,LRU,1236538,1236538,0,1234482,2056,0,99.8337,0.166271,4.18474,63577,416883,310550,106333,402614,14269,2609,96.5772,3.42278,7.59246,60,18934,16325,2609,11528,7406,3,60.8852,39.1148,93.2296,0
trace_sq.txt,16384,8,1048576,8,OFF,LRU,1236538,1236538,0,1234467,2071,0,99.8325,0.167484,4.18492,63577,416883,310550,106333,404539,12344,2463,97.039,2.96102,7.52319,60,16878,14415,2463,9472,7406,3,56.1204,43.8796,102.759,0
trace_sq.txt,32768,1,1048576,8,OFF,LRU,1236538,1236538,0,1234941,1597,0,99.8708,0.129151,4.17917,63577,416883,310550,106333,400680,16203,3687,96.1133,3.8867,7.66205,60,21487,17800,3687,14081,7406,3,65.5326,34.4674,83.9347,0
trace_sq.txt,32768,2,1048576,8,OFF,LRU,1236538,1236538,0,1235020,1518,0,99.8772,0.122762,4.17822,63577,416883,310550,106333,405208,11675,2399,97.1995,2.80055,7.49912,60,15592,13193,2399,8186,7406,3,52.5013,47.4987,109.997,0
trace_sq.txt,32768,4,1048576,8,OFF,LRU,1236538,1236538,0,1235138,1400,0,99.8868,0.113219,4.17678,63577,416883,310550,106333,405922,10961,2189,97.3707,2.62927,7.47343,60,14550,12361,2189,7144,7406,3,49.0997,50.9003,116.801,0
trace_sq.txt,32768,8,1048576,8,OFF,LRU,1236538,1236538,0,1235211,1327,0,99.8927,0.107316,4.1759,63577,416883,310550,106333,406157,10726,2166,97.4271,2.5729,7.46498,60,14219,12053,2166,6813,7406,4,47.9148,52.0852,119.17,0
trace_str.txt,8192,1,1048576,8,OFF,LRU,1976862,1976862,0,1956021,20841,0,98.9458,1.05425,4.35097,101402,680460,503495,176965,586146,94314,24281,86.1397,13.8603,8.69463,150,139436,115155,24281,128631,10805,28,92.2509,7.74907,30.4981,0
trace_str.txt,8192,2,1048576,8,OFF,LRU,1976862,1976862,0,1965604,11258,0,99.4305,0.569488,4.27825,101402,680460,503495,176965,621067,59393,12104,91.2716,8.72836,7.92484,150,82755,70651,12104,71950,10805,28,86.9434,13.0566,41.1132,0
