trace_file,l1_size,l1_assoc,l2_size,l2_assoc,prefetch,policy,l1_i_total_accesses,l1_i_reads,l1_i_writes,l1_i_hits,l1_i_misses,l1_i_write_backs,l1_i_hit_rate,l1_i_miss_rate,l1_i_amat,l1_i_split_accesses,l1_d_total_accesses,l1_d_reads,l1_d_writes,l1_d_hits,l1_d_misses,l1_d_write_backs,l1_d_hit_rate,l1_d_miss_rate,l1_d_amat,l1_d_split_accesses,l2_total_accesses,l2_reads,l2_writes,l2_hits,l2_misses,l2_write_backs,l2_hit_rate,l2_miss_rate,l2_amat,l2_split_accesses
trace_rd.txt,8192,1,1048576,8,OFF,LRU,2077327,2077327,0,2052454,24873,0,98.8026,1.19736,4.36378,107303,729824,533156,196668,635106,94718,24572,87.0218,12.9782,8.38677,148,144163,119591,24572,133346,10817,28,92.4967,7.50331,30.0066,0
trace_rd.txt,8192,1,1048576,8,ON,LRU,2077327,2077327,0,2061245,16082,0,99.2258,0.774168,4.2255,107303,729824,533156,196668,629723,100101,34673,86.2842,13.7158,7.26012,148,236028,201355,34673,223907,12121,61,94.8646,5.13541,25.2708,0
trace_rd.txt,8192,2,1048576,8,OFF,LRU,2077327,2077327,0,2066046,11281,0,99.4569,0.543054,4.26564,107303,729824,533156,196668,670227,59597,12273,91.8341,8.16594,7.66493,148,83151,70878,12273,72334,10817,28,86.9911,13.0089,41.0177,0
trace_rd.txt,8192,2,1048576,8,ON,LRU,2077327,2077327,0,2068461,8866,0,99.5732,0.426798,4.17378,107303,729824,533156,196668,665006,64818,18572,91.1187,8.88132,6.56537,148,145597,127025,18572,133480,12117,58,91.6777,8.32229,31.6446,0
trace_rd.txt,8192,4,1048576,8,OFF,LRU,2077327,2077327,0,2068690,8637,0,99.5842,0.415775,4.24655,107303,729824,533156,196668,689534,40290,8572,94.4795,5.52051,7.26812,148,57499,48927,8572,46682,10817,28,81.1875,18.8125,52.625,0
trace_rd.txt,8192,4,1048576,8,ON,LRU,2077327,2077327,0,2069574,7753,0,99.6268,0.37322,4.16651,107303,729824,533156,196668,682706,47118,12542,93.5439,6.45608,6.20789,148,108465,95923,12542,96350,12115,58,88.8305,11.1695,37.339,0
trace_rd.txt,8192,8,1048576,8,OFF,LRU,2077327,2077327,0,2072201,5126,0,99.7532,0.246759,4.22119,107303,729824,533156,196668,693883,35941,6965,95.0754,4.92461,7.17873,148,48032,41067,6965,37215,10817,28,77.4796,22.5204,60.0408,0
trace_rd.txt,8192,8,1048576,8,ON,LRU,2077327,2077327,0,2073571,3756,0,99.8192,0.180809,4.13755,107303,729824,533156,196668,683263,46561,11527,93.6202,6.37976,6.20576,148,101268,89741,11527,89162,12106,58,88.0456,11.9544,38.9088,0
trace_rd.txt,16384,1,1048576,8,OFF,LRU,2077327,2077327,0,2072023,5304,0,99.7447,0.255328,4.22248,107303,729824,533156,196668,690202,39622,7867,94.571,5.42898,7.25439,148,52793,44926,7867,41976,10817,28,79.5105,20.4895,55.9789,0
trace_rd.txt,16384,1,1048576,8,ON,LRU,2077327,2077327,0,2073489,3838,0,99.8152,0.184757,4.13776,107303,729824,533156,196668,690246,39578,9964,94.577,5.42295,6.08032,148,88412,78448,9964,76314,12098,60,86.3163,13.6837,42.3673,0
trace_rd.txt,16384,2,1048576,8,OFF,LRU,2077327,2077327,0,2073543,3784,0,99.8178,0.182157,4.2115,107303,729824,533156,196668,695195,34629,6317,95.2552,4.74484,7.15149,148,44730,38413,6317,33914,10816,28,75.8194,24.1806,63.3613,0
trace_rd.txt,16384,2,1048576,8,ON,LRU,2077327,2077327,0,2074704,2623,0,99.8737,0.126268,4.12976,107303,729824,533156,196668,694904,34920,8264,95.2153,4.78472,6.02926,148,73574,65310,8264,61486,12088,61,83.5703,16.4297,47.8594,0
trace_rd.txt,16384,4,1048576,8,OFF,LRU,2077327,2077327,0,2073887,3440,0,99.8344,0.165597,4.20902,107303,729824,533156,196668,706199,23625,3995,96.7629,3.23708,6.9256,148,31060,27065,3995,20243,10817,28,65.1739,34.8261,84.6523,0
trace_rd.txt,16384,4,1048576,8,ON,LRU,2077327,2077327,0,2075080,2247,0,99.8918,0.108168,4.12771,107303,729824,533156,196668,707683,22141,4601,96.9663,3.03375,5.79676,148,49197,44596,4601,37124,12073,59,75.4599,24.5401,64.0802,0
trace_rd.txt,16384,8,1048576,8,OFF,LRU,2077327,2077327,0,2073920,3407,0,99.836,0.164009,4.20878,107303,729824,533156,196668,709046,20778,3677,97.153,2.84699,6.86709,148,27862,24185,3677,17045,10817,28,61.1765,38.8235,92.647,0
trace_rd.txt,16384,8,1048576,8,ON,LRU,2077327,2077327,0,2075138,2189,0,99.8946,0.105376,4.1272,107303,729824,533156,196668,712003,17821,4005,97.5582,2.44182,5.73044,148,41926,37921,4005,29866,12060,58,71.235,28.765,72.5299,0
trace_rd.txt,32768,1,1048576,8,OFF,LRU,2077327,2077327,0,2073872,3455,0,99.8337,0.16632,4.20913,107303,729824,533156,196668,703401,26423,5681,96.3795,3.62046,6.98311,148,35559,29878,5681,24742,10817,28,69.5801,30.4199,75.8397,0
trace_rd.txt,32768,1,1048576,8,ON,LRU,2077327,2077327,0,2074930,2397,0,99.8846,0.115389,4.12764,107303,729824,533156,196668,705179,24645,6973,96.6232,3.37684,5.83178,148,55915,48942,6973,43836,12079,59,78.3976,21.6024,58.2049,0
trace_rd.txt,32768,2,1048576,8,OFF,LRU,2077327,2077327,0,2074481,2846,0,99.863,0.137003,4.20473,107303,729824,533156,196668,710410,19414,3497,97.3399,2.66009,6.83878,148,25757,22260,3497,14941,10816,28,58.0075,41.9925,98.9849,0
